         2098685989 function calls (2070205242 primitive calls) in 8408.946 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7119    0.098    0.000   10.978    0.002 socket.py:688(create_connection)
   428852    1.109    0.000   10.832    0.000 shape_base.py:180(vstack)
   314486    0.565    0.000   10.723    0.000 treetaggerwrapper.py:1984(split_url)
  1564085    4.001    0.000   10.616    0.000 base.py:1406(__getitem__)
   316426    1.841    0.000   10.554    0.000 range.py:249(_shallow_copy)
    14236    0.082    0.000   10.481    0.001 element.py:1273(find)
  2087974   10.481    0.000   10.481    0.000 {built-in method time.localtime}
  1651591    8.765    0.000   10.441    0.000 internals.py:4663(_get_blkno_placements)
    14236    0.072    0.000   10.394    0.001 element.py:1284(find_all)
    14236    0.877    0.000   10.322    0.001 element.py:518(_find_all)
  2553046    2.910    0.000   10.275    0.000 common.py:292(is_bool_dtype)
  1155294    1.423    0.000   10.136    0.000 internals.py:154(get_values)
    47612    0.151    0.000   10.120    0.000 frame.py:5666(<listcomp>)
    67454    0.298    0.000   10.114    0.000 base.py:622(_coerce_scalar_to_index)
  1067700    2.525    0.000   10.065    0.000 _tokenizer.py:242(dataState)
   190448    0.465    0.000    9.969    0.000 frame.py:5660(convert)
    95226    0.745    0.000    9.850    0.000 generic.py:3007(astype)
  6837932    6.437    0.000    9.817    0.000 common.py:333(_get_dtype)
  4219536    2.903    0.000    9.799    0.000 base.py:527(get_values)
  4225658    2.895    0.000    9.655    0.000 re.py:231(compile)
     7118    0.235    0.000    9.562    0.001 html5parser.py:60(__init__)
  1694988    5.733    0.000    9.525    0.000 _inputstream.py:320(charsUntil)
    95228    0.600    0.000    9.446    0.000 internals.py:4236(create_block_manager_from_blocks)
  5407358    4.261    0.000    9.395    0.000 internals.py:163(to_dense)
  1605633    6.838    0.000    9.309    0.000 base.py:606(_get_attributes_dict)
   832361    9.248    0.000    9.248    0.000 {built-in method pandas.lib.list_to_object_array}
